Word,Adjective
impervious,not allowing to pass through (of materials)
feral,Existing in a wild or untamed state
convoke,call together summon
breach,opening; broken place; breaking
credulous,ready to believe things
Conduce,To bring about
superfluous,more then is needed or wanted
daunt,intimidate make fearful
trudge,walk heavily
mephitic,Poisonous; noxious
equipoise,equal distribution of weight equilibrium
chastisement,punishment
thrift,care economy thriving prosperous
rarefy,to make thin to make less dense to purify or refine
neophyte,person who has been converted to a belief
benign,kind and gentle
dissent,have a different opinion refuse to assent
lackluster,(of eyes) dull
veneration,regard with deep respect
fret,worry; irritation; wear away
pious,dutiful to parents; devoted to religion
impiety,lack of reverence or dutifulness
rave,act with excessive enthusiasm
heresy,belief contrary to what is generally accepted
frenetic,frantic; frenzied
disheveled,untidy
scalding,hot enough to boil
guile,deceit; cunning
irresolute,hesitating; undecided
telltale,That gives warning or information
temperate,showing self-control
chicanery,legal trickery/false argument
grave,serious requiring; consideration
blas�,bored with pleasure or dissipation
exoneration,set someone clear (e.g.. from blame)
hoodwink,trick; mislead
tawdry,cheap gaudy showy tacky
debacle,a breakup overthrow sudden disaster
striated,striped grooved or banded
feckless,lacking purpose or vitality ineffective careless
reticence,uncommunicativeness
resilience,quality of quickly recovering the original shape
contentious,argumentative pugnacious combative quarrelsome
ardor,enthusiasm
disdain,look on with contempt
cajole,use flattery or deceit to persuade
glimmer,weak/unsteady light
jocular,meant as a joke
taunt,contemptuous reproach hurtful remark
conundrum,a riddle dilemma enigma
incite,stir up; rouse
terse,brief and to the point
abeyance,suspended action
drawl,slow way of speaking
myriad,very great number
apotheosis,deification glorification to godliness
guileless,honest; straightforward
alacrity,eager and cheerful; readiness
clinch,come to grips/settle conclusively
clamor,shout complain with a lot of noise
falter,waver/move in an uncertain manner
nexus,a connection or link
inimitable,defying; imitation; unmatchable
ale,fermented alcoholic beverage similar to but heavier than beer
ulterior,situated beyond
jagged,notched
sash,long strip worn round the waist
recant,take back as being FALSE give up
decorum,propriety properness
abet,help/encourage somebody (in doing wrong)
sever,break off
render,deliver provide represent
discreet,careful/prudent
itinerate,to travel from place to place to peregrinate
innocuous,causing no harm
ruffian,violent cruel man
abrogate,repeal or annul by authority
tepid,lukewarm
talon,claw of a bird of prey
quiescence,state of being passive/motionless
exhaustive,complete; thorough
flinch,draw; move back; wince
sodden,soaked; saturated
crush,press lose shape subdue overwhelm
insurrection,rising of people to open resistance to
ossify,to turn to bone to settle rigidly into an idea
doleful,dismal; mourful
quack,person dishonestly claiming to something
commodious,having plenty of space for what is needed
intrepid,fearless; brave; undaunted
emaciate,make thin and weak
pariah,an outcast a rejected and despised person
unfeigned,not pretended sincere
fixate,stare at
prim,neat; formal
thwart,obstruct/frustrate
preternatural,not normal or usual
vilify,slander say evil things
transgress,break go beyond (a limit)
hegemony,predominance
insinuate,suggest unpleasantly; make a way for something gently
recast,cast or fashion anew
intransigence,unwillingness to compromise stubbornness intractability
servile,like a slave lacking independence
infuse,put; pour; fill
engrossing,taken up all the time or attention writing in large or formal
heinous,odious (of crime)
covert,disguised
fracas,noisy; quarrel
sketchy,"shortly, roughly, quickly"
putrefaction,becoming rotten
ubiquitous,present everywhere
assuage,make something (pain desire) less
sycophant,person who flatter to the rich and powerful
ebullience,exuberance outburst of feeling
colander,bowl-shaped vessel with many holes used to drain off water
festoon,a decorative chain or strip hanging between two points
cower,crouch shrink back
proclivity,inclination
assail,attack violently
maul,hurt by rough handling
forfeit,suffer the loss of something
urbane,elegant refined in manners
quixotic,"fanciful, fantastic, imaginary"
burnish,to polish; rub to a shine
equivocal,having a double or doubtful meaning; suspicious
stingy,spending using unwillingly
inadvertent,not paying proper attention
austere,severely moral and strict simple and plain
penury,extreme poverty
gnaw,waste away; bite steadily
torpid,dull and slow
occluded,blocked up
provisional,of the present time only
ire,anger
engender,cause produce give rise to
rotund,rich and deep; plump and round
wean,to turn away (from a habit)
profuse,abundant/lavish
savant,person of great learning
ruddy,"reddish, healthy-looking"
beatify,to bless; make happy or ascribe a virtue to
vain,without use result conceited
pry,get something inquire too curiously
enervate,weaken deprive of strength attenuate
adamant,kind of stone; inflexible
puerile,childish
glut,supply to much fill to excess
equivocate,try to deceive by equivocal language
crease,line made by crushing white line on the ground in cricket
ascertain,get to know
splice,join (two ends)
discrete,distinct
reticent,reserved; untalkative; silent; taciturn
sting,something sharp
dynamo,a generator something that produces electric current
penitent,feeling or showing regret
dirge,a song of grief or lamentation
elegy,a lament a melancholy composition
retinue,following; attendants
stolid,showing no emotion impassive
effrontery,boldness impudence arrogance
cogitate,think deeply mediate
obtuse,blunt/stupid
dissolution,disintegration looseness in morals
indolence,laziness
privation,hardship
consummate,perfect/make; perfect/complete
paucity,scarcity a lacking of
diatribe,bitter and violent attack in words
pyre,large pile of wood for burning
derision,ridicule mockery deriding
pusillanimous,cowardly; craven
erudite,learned; scholarly
churlish,(adj) boorish
pulchritude,Physical beauty
corporeal,physical of or for the body
mercurial,quick changeable in character fleeting
streak,long thin move very fast
insularity,narrow-mindedness; isolated
pedestrian,commonplace trite unremarkable
equable,steady; regular
decry,disapprove of
coeval,of the same period; coexisting
penchant,strong inclination a liking
admonitory,containing warning
onus,"responsilibilty,burden"
vanquish,conquer
nascent,coming into existence; emerging
luculent,easily understood; lucid; clear
secular,material (not spiritual) living outside monasteries
auspicious,favorable successful prosperous
palliate,lessen the severity of
extirpate,to destroy exterminate cut out exscind
dearth,shortage
recidivism,relapse into antisocial or criminal behavior
pellucid,transparent easy to understand
baneful,causing harm or ruin; pernicious; destructive
cogent,strong; convincing
lurk,be out of view ready to attack
condone,forgive
discredit,refuse to believe
assiduous,diligent hard-working; sedulous
covetous,eagerly desirous
accretion,the growing of separate things into one
foray,to venture
lumber,move in a clumsy/noisy way
coda,passage that completes a piece of music
indelible,that cannot be rubbed out
cornucopia,abundant supply
elicit,draw out
veneer,surface appearance covering the TRUE nature
serration,having a toothed edge
deprave,make morally bad;corrupt
dainty,pretty/delicate(food)/difficult to please
petrify,to make hard rocklike
odious,repulsive; hateful
fledgling,an inexperienced person.
dilate,speak comprehensively become wider large
censure,expression of blame or disapproval a rebuke
denigrate,blacken; belittle; sully; defame
highbrow,(person) with superior tastes
tocsin,"a signal, especially of alarm"
inane,silly; senseless
tyro,a beginner
duplicity,deliberate deception
chauvinist,a blindly devoted patriot
caustic,biting sarcastic
turbid,muddy having the sediment stirred up
protracted,prolonged
taut,tightly stretched
interim,as an installment
abjure,promise or swear to give up
prevaricate,to equivocate to stray from the truth
punctilious,Meticulous
inundate,flood cover by overflowing
ignominious,shameful; dishonorable; undignified; disgraceful
avid,eager; greedy
bellicose,inclined to fighting
plaque,flat metal on a wall as a memorial
malign,to speak harmful untruths about someone
sanctimony,self-righteousness hypocritical with FALSE piety
consume,get to the end of
ingenuous,naive; young; artless; frank; honest; sincere
lien,legal claim until a debt on it is repaid
veracity,truth
snub,treat with contempt
attenuate,make thin; weaken; enervate
inimical,harmful or unfriendly
phlegmatic,calm; sluggish; temperament; unemotional
barren,not good enough; unable to have young ones without value
exigency,emergency an urgent situation
finagle,to practice deception or fraud; scheme.
florid,very much ornamented naturally red (e.g.. of face)
libel,statement that damages reputation
credulity,too great a readiness to believe things
aver,affirm; assert; prove; justify
dud,no use person something that fails
forbearance,patience; willingness to wait
idiosyncrasy,personal mannerism
chagrin,vexation
obdurate,hardened and unrepenting; stubborn; inflexible
